Ref. Des.,X position,Y position,Angle,Side,MPN,Value,Manufacturer,Package
C1,11.014,10.153,180.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C2,13.000,4.000,270.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C3,18.414,3.831,270.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C4,11.000,11.750,180.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C5,14.150,22.650,90.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C6,36.250,23.000,180.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C7,36.250,21.750,180.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C8,45.750,23.500,270.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C9,47.250,20.750,270.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C10,20.250,22.500,270.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C11,14.187,11.812,90.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C12,47.250,10.000,90.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C13,36.250,11.000,0.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C14,36.250,12.250,0.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C15,45.750,12.750,90.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C16,20.250,11.750,270.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C17,17.750,-7.750,90.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C18,32.500,-0.250,270.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C19,21.250,3.350,0.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C20,29.000,-11.250,180.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C21,21.875,-11.250,0.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C22,26.462,-24.663,270.000,top,C1608X7R2A103M080AA,10 nF,TDK,C0603
C23,32.750,-17.750,90.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C24,34.250,-17.750,90.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C25,37.000,-23.750,0.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C26,37.000,-25.000,0.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C27,38.250,-15.500,0.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C28,44.750,-25.500,270.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C29,41.750,-24.000,90.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C30,44.750,-22.500,90.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C31,35.250,-15.500,180.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C32,34.241,-23.236,180.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C33,49.500,4.500,0.000,top,C1608C0G1H101J080AA,100 pF,TDK,C0603
C34,38.500,4.000,90.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C35,37.250,4.000,90.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C36,36.000,4.000,90.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C37,34.750,4.000,90.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C38,40.250,4.000,90.000,top,C1608X7R2A103M080AA,10 nF,TDK,C0603
C39,35.000,2.000,180.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C40,41.750,1.750,90.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C41,42.750,-6.750,90.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C42,41.500,-6.750,90.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C43,37.750,-5.000,0.000,top,C1608X7R2A103M080AA,10 nF,TDK,C0603
C44,45.750,1.750,90.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C45,47.000,1.750,90.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C46,52.000,-5.500,90.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C47,53.250,-5.500,90.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C48,70.500,-2.250,270.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C49,69.250,-2.250,90.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C50,87.500,1.750,0.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C51,87.500,-0.750,0.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C52,87.500,-2.000,0.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C53,87.500,0.500,180.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C54,70.500,2.250,270.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C55,69.250,2.250,90.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C56,84.750,4.250,180.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C57,79.250,4.250,0.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C58,79.250,-4.500,0.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C59,84.750,-4.500,0.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C60,87.500,3.000,180.000,top,C1608X5R1H105K080AB,1 uF,TDK,C0603
C61,76.250,4.000,180.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C62,62.250,-2.250,270.000,top,C1608X5R1H105K080AB,1 uF,TDK,C0603
C63,75.000,0.000,0.000,top,CGA3E2X7R2A102K080AE,1 nF,TDK,C0603
C64,76.250,-4.000,0.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C65,87.500,-3.250,180.000,top,C1608X5R1H105K080AB,1 uF,TDK,C0603
C66,49.536,-18.000,0.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C67,49.536,-10.000,180.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C69,42.750,-11.750,90.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C70,41.500,-11.750,90.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C71,37.750,-10.000,0.000,top,C1608X7R2A103M080AA,10 nF,TDK,C0603
C72,83.500,-18.000,270.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C73,71.000,-15.000,270.000,top,CGA3E2X7R2A102K080AE,1 nF,TDK,C0603
C74,66.750,-9.500,0.000,top,C1608X5R1C106M080AB,10 µF,TDK,C0603
C75,66.750,-10.750,0.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C76,26.250,3.125,0.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
C77,29.250,3.125,180.000,top,CGA3E3X7S2A104K080AE,100 nF,TDK,C0603
D1,5.500,7.000,180.000,top,SMAJ5.0A,5 V,Littlefuse,SMA
D2,9.250,0.000,0.000,top,82400152,82400152,Wurth,sot-563
D3,5.500,11.000,180.000,top,SMAJ5.0A,5 V,Littlefuse,SMA
D4,36.250,19.500,180.000,top,MBR0520L-TP,MBR0520L-TP,Micro Commercial Components,sod-123g
D5,36.250,25.500,180.000,top,MBR0520L-TP,MBR0520L-TP,Micro Commercial Components,sod-123g
D6,36.250,8.750,0.000,top,MBR0520L-TP,MBR0520L-TP,Micro Commercial Components,sod-123g
D7,36.250,14.750,0.000,top,MBR0520L-TP,MBR0520L-TP,Micro Commercial Components,sod-123g
D8,3.375,-8.000,270.000,top,HSMF-C114,HSMF-C114,Avago,HSMF
J1,6.000,0.000,270.000,top,USB4105-GF-A,USB4105-GF-A,GCT,USB4105
J2,6.000,18.000,270.000,top,USB4105-GF-A,USB4105-GF-A,GCT,USB4105
J8,26.250,-18.000,0.000,top,SM07B-NSHSS-TB,SM07B-NSHSS-TB,JST,SM07-NSHSS-TB
J9,116.000,21.000,0.000,top,0731000103,0731000103,Molex,smb-thru-right
J10,123.750,0.000,90.000,top,1843813,1843813,Phoenix Contact,mc-1-5-4pin
