QTY,MPN,Value,Manufacturer,Ref. Des.,Package
38,C1608X5R1C106M080AB,10 µF,TDK,"C1, C2, C3, C4, C5, C7, C8, C9, C10, C11, C12, C14, C15, C16, C17, C18, C19, C20, C21, C23, C26, C34, C37, C41, C44, C46, C48, C50, C51, C52, C54, C56, C57, C58, C67, C69, C72, C74",C0603
28,CGA3E3X7S2A104K080AE,100 nF,TDK,"C6, C13, C24, C25, C27, C28, C29, C30, C31, C32, C35, C36, C39, C40, C42, C45, C47, C49, C53, C55, C59, C61, C64, C66, C70, C75, C76, C77",C0603
4,C1608X7R2A103M080AA,10 nF,TDK,"C22, C38, C43, C71",C0603
1,C1608C0G1H101J080AA,100 pF,TDK,C33,C0603
3,C1608X5R1H105K080AB,1 uF,TDK,"C60, C62, C65",C0603
2,CGA3E2X7R2A102K080AE,1 nF,TDK,"C63, C73",C0603
2,SMAJ5.0A,5 V,Littlefuse,"D1, D3",SMA
1,82400152,82400152,Wurth,D2,sot-563
4,MBR0520L-TP,MBR0520L-TP,Micro Commercial Components,"D4, D5, D6, D7",sod-123g
1,HSMF-C114,HSMF-C114,Avago,D8,HSMF
2,USB4105-GF-A,USB4105-GF-A,GCT,"J1, J2",USB4105
1,SM07B-NSHSS-TB,SM07B-NSHSS-TB,JST,J8,SM07-NSHSS-TB
1,0731000103,0731000103,Molex,J9,smb-thru-right
1,1843813,1843813,Phoenix Contact,J10,mc-1-5-4pin
1,G6JU-2FS-Y-TR DC3,G6JU-2FS-Y-TR DC3,Omron,K1,G6JU-2FS
1,MSS1278-104MLD,100 µH,Coilcraft,L1,MSS1278
1,SLP3-150-100-R,SLP3-150-100-R,Bivar,MP1,SLP3-150-100-R
1,CSD13302W,CSD13302W,Texas Instruments,Q1,YZB
1,IRLH5030TRPBF,IRLH5030TRPBF,International Rectifier,Q2,PQFN-5x6
1,RMCF0603FT10K0,10 kΩ,Stackpole,R1,R0603
2,RMCF0603FT604K,604 kΩ,Stackpole,"R2, R8",R0603
6,RMCF0603FT2K00,2 kΩ,Stackpole,"R3, R20, R31, R32, R35, R36",R0603
2,RMCF0603FT45K3,45.3 kΩ,Stackpole,"R4, R9",R0603
4,RMCF0603FT4K99,4.99 kΩ,Stackpole,"R5, R6, R10, R11",R0603
3,RMCF0603ZT0R00,0 Ω,Stackpole,"R7, R17, R40",R0603
2,RMCF0603FT82K0,82 kΩ,Stackpole,"R12, R13",R0603
6,RMCF0603FT1K00,1 kΩ,Stackpole,"R14, R15, R16, R21, R23, R42",R0603
1,32207614,1 kΩ,Heraeus Nexensos,R18,R0805
1,RMCF0603FT100K,100 kΩ,Stackpole,R19,R0603
2,RMCF0603FT15K8,15.8kΩ,Stackpole,"R22, R24",R0603
2,RMCF0603FT200R,200 Ω,Stackpole,"R25, R26",R0603
1,RMCF0603FT6K34,6.34 kΩ,Stackpole,R27,R0603
2,RMCF0603FG100R,100 Ω,Stackpole,"R28, R38",R0603
1,RMCF0603FT15K0,15 kΩ,Stackpole,R29,R0603
2,RMCF0603FT1K47,1.47 kΩ,Stackpole,"R30, R37",R0603
2,RMCF0603FT499R,499 Ω,Stackpole,"R33, R34",R0603
1,RMCF0603FT4K02,4.02 kΩ,Stackpole,R41,R0603
1,RMCF0603FT1R00,1 Ω,Stackpole,R43,R0603
1,TDA01H0SB1R,TDA01H0SB1R,C&K,S1,TDA-SPST-gull-wing
2,DA2304-ALD,DA2304-ALD,Coilcraft,"T1, T2",DA230x
1,ADP7118AUJZ-3.3-R7,3.3 V,Analog Devices,U1,SOT-23-5
2,LM73100RPWR,LM73100RPWR,Texas Instruments,"U2, U3",vqfn-hr-rpw0010a
1,LT3045IMSE#PBF,LT3045,Analog Devices,U4,msop-12
2,SN6505BQDBVTQ1,SN6505BQ,Texas Instruments,"U5, U6",sot-23-6-dbv0006a
1,LT3094IMSE#PBF,LT3094,Analog Devices,U7,msop-12
1,STM32G484RET6,STM32G484RET6,ST,U8,LQFP64
1,DSC1001DI5-024.5760,24.576 MHz,Microchip,U9,ASDMB
1,AD7124-4BCPZ,AD7124-4BCPZ,Analog Devices,U10,lfcsp-32
1,AD8676ARMZ,AD8676ARMZ,Analog Devices,U11,msop-8_rm-8
1,AD9838BCPZ-RL7,AD9838,Analog Devices,U12,20-LFCSP_CP-20-10
2,AD5542ABCPZ-1-RL7,AD5542ABCPZ-1-RL7,Analog Devices,"U13, U18",lfcsp-10 (CP-10-9)
1,THP210DR,THP210DR,Texas Instruments,U14,soic-8-d0008a
1,LT1739CFE#PBF,LT1739CFE#PBF,Linear Technology,U15,tssop-20-fe
1,LT6657BHMS8-2.5#PBF,2.5 V,Analog Devices,U16,MSOP-8
1,LT6203IMS8#TRPBF,LT6203IMS8#TRPBF,Analog Devices,U17,msop-8_ms8
1,DRV8838DSGR,DRV8838,Texas Instruments,U19,DSG
